,Coefficient,Mean_Abs_Error,Explained_Variance
vertical_drop,2.032411152617539,5.1303455279734145,0.9354012974977128
trams,0.2908600486363076,5.1303455279734145,0.9354012974977128
fastEight,0.06000494028249399,5.1303455279734145,0.9354012974977128
fastSixes,0.38301797333823856,5.1303455279734145,0.9354012974977128
fastQuads,0.7051868728150441,5.1303455279734145,0.9354012974977128
quad,1.1839288554454552,5.1303455279734145,0.9354012974977128
triple,1.3870362884985505,5.1303455279734145,0.9354012974977128
double,0.24685760448428903,5.1303455279734145,0.9354012974977128
surface,1.2490471479168208,5.1303455279734145,0.9354012974977128
total_chairs,0.5717019914457232,5.1303455279734145,0.9354012974977128
Runs,1.39863143431157,5.1303455279734145,0.9354012974977128
TerrainParks,0.09251661248715605,5.1303455279734145,0.9354012974977128
LongestRun_mi,0.4038421695121707,5.1303455279734145,0.9354012974977128
SkiableTerrain_ac,0.1415597951522648,5.1303455279734145,0.9354012974977128
Snow Making_ac,0.5845627779741673,5.1303455279734145,0.9354012974977128
daysOpenLastYear,1.1566676911309823,5.1303455279734145,0.9354012974977128
yearsOpen,0.24268201442293463,5.1303455279734145,0.9354012974977128
averageSnowfall,0.899504557039431,5.1303455279734145,0.9354012974977128
AdultWeekday,20.077469411448384,5.1303455279734145,0.9354012974977128
projectedDaysOpen,0.5851240438158487,5.1303455279734145,0.9354012974977128
NightSkiing_ac,0.3817679034489319,5.1303455279734145,0.9354012974977128
clusters,2.6384856818333082,5.1303455279734145,0.9354012974977128
